NMNH       220354     ctt27ms2.xls




















8.6999     10.7498    9.7767     R-ALV
8.6619     10.8551    9.7627
8.69       10.9328    9.7536
8.71       11.017     9.7457
8.7407     11.0935    9.7221
8.781      11.1525    9.7188
8.7992     11.2422    9.7196
8.8243     11.2919    9.717
8.8417     11.3505    9.71
8.914      11.4093    9.6947
8.9921     11.4313    9.6398
9.0763     11.5108    9.6436
9.118      11.5404    9.6342
9.1985     11.6933    9.5876
9.2489     11.7324    9.5893
9.3107     11.7709    9.6087
9.242      11.7232    9.5799
9.2659     11.8475    9.5246
9.3177     11.9176    9.5104
9.3528     11.9939    9.4933
9.3826     12.031     9.5057
9.5205     12.1103    9.5189
9.6421     12.1413    9.5713
9.7257     12.1662    9.5433
9.7454     12.2299    9.5166
9.8595     12.3303    9.5205
9.8748     12.3865    9.5048
9.924      12.5146    9.4727
10.2012    12.5967    9.4426
10.3024    12.6642    9.4391
10.4063    12.7415    9.4168
10.5248    12.8297    9.3868
10.6655    12.9206    9.3933
10.7672    12.9879    9.3772
10.8735    13.0798    9.347
10.946     13.1306    9.3403
11.0315    13.2006    9.3029
11.1093    13.2477    9.2994
11.1871    13.3015    9.2888
11.2722    13.274     9.3053
































































































































































11.2794    8.2934     9.6913     L-ALV
11.3844    8.2989     9.6777
11.4842    8.3328     9.6558
11.6494    8.3585     9.6104
11.809     8.4381     9.5689
11.9083    8.53       9.5143
12.0421    8.6781     9.4842
12.1195    8.7673     9.4725
12.274     8.8732     9.477
12.3768    8.9808     9.4611
12.5567    9.1032     9.4856
12.5727    9.2022     9.4822
12.6319    9.3579     9.457
12.7237    9.4145     9.4528
12.7869    9.469      9.4455
12.8531    9.515      9.4275
12.9432    9.5847     9.4189
13.0893    9.6789     9.4374
13.0842    9.8116     9.4207
13.1508    9.918      9.4343
13.1696    10.0047    9.3925
13.2115    10.0689    9.3977
13.2857    10.18      9.3878
13.3971    10.3493    9.4041
13.4697    10.4163    9.4071
13.5203    10.4579    9.3787
13.5689    10.514     9.3289
13.6325    10.5964    9.2838
13.6627    10.697     9.2697
13.7232    10.8012    9.2529
13.7801    10.8676    9.2427
13.7216    10.9835    9.2555








































































































































































6.6345     9.9264     8.4432     R_FOS
9.9566     6.8298     8.4899     L_FOS
